Name,Quantity,Component
"UA1",1," Arduino Uno R3"
"ULCD",1," LCD 16 x 2"
"R1",1,"1 kΩ Resistor"
"PIEZO1",1," Piezo"
"GASG1",1," Gas Sensor"
"R2",1,"4.7 kΩ Resistor"
"Rpotp1",1,"10 kΩ Potentiometer"
"R3",1,"220 Ω Resistor"
